reference_id,bib_key,title,publication_status,primary_topic_id,three_w_role,contribution_or_boundary,use_in_manuscript,identity_indices,coverage_note
S01,S01_vaucher2026ivie,IVIE: A Neuro-symbolic Approach to Incremental and Validated Generation of Interactive Fiction Worlds,PREPRINT,T1,HOW/WHAT,C1|C2|C5,Direct or adjacent game-specific comparator for grounded generation and authority placement.,openalex|semantic_scholar|arxiv,Comparator evidence cannot establish TRACE-RPG correctness superiority or player benefit.
S02,S02_figueiredo2025scaffolded,Symbolically Scaffolded Play: Designing Role-Sensitive Prompts for Generative NPC Dialogue,PREPRINT,T1,WHY/WHAT,BOUNDARY-FUTURE,Direct or adjacent game-specific comparator for grounded generation and authority placement.,arxiv|rate-limited:semantic_scholar,Comparator evidence cannot establish TRACE-RPG correctness superiority or player benefit.
S03,S03_weir2024ontologically,Ontologically Faithful Generation of Non-Player Character Dialogues,VERIFIED,T1,HOW/WHAT,C1,Direct or adjacent game-specific comparator for grounded generation and authority placement.,crossref|openalex|rate-limited:semantic_scholar,Comparator evidence cannot establish TRACE-RPG correctness superiority or player benefit.
S04,S04_he2024gretriever,G-Retriever: Retrieval-Augmented Generation for Textual Graph Understanding and Question Answering,VERIFIED,T2,HOW/WHAT,C1,Retrieval memory or persona-context comparator kept outside commit authority.,crossref|openalex|rate-limited:semantic_scholar,Retrieved or remembered context neither authorizes mutation nor proves contradiction reduction.
S05,S05_gutierrez2024hipporag,HippoRAG: Neurobiologically Inspired Long-Term Memory for Large Language Models,VERIFIED,T2,HOW/WHAT,C1,Retrieval memory or persona-context comparator kept outside commit authority.,crossref|openalex|rate-limited:semantic_scholar,Retrieved or remembered context neither authorizes mutation nor proves contradiction reduction.
S06,S06_chhikara2025mem0,Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory,VERIFIED,T2,HOW/WHAT,C1,Retrieval memory or persona-context comparator kept outside commit authority.,crossref|openalex|semantic_scholar,Retrieved or remembered context neither authorizes mutation nor proves contradiction reduction.
S07,S07_park2023generative,Generative Agents: Interactive Simulacra of Human Behavior,VERIFIED,T2,HOW/WHAT,C1,Retrieval memory or persona-context comparator kept outside commit authority.,crossref|openalex|semantic_scholar,Retrieved or remembered context neither authorizes mutation nor proves contradiction reduction.
S08,S08_shao2023character,Character-LLM: A Trainable Agent for Role-Playing,VERIFIED,T2,HOW/WHAT,C1,Retrieval memory or persona-context comparator kept outside commit authority.,crossref|openalex|rate-limited:semantic_scholar,Retrieved or remembered context neither authorizes mutation nor proves contradiction reduction.
S09,S09_geng2023grammar,Grammar-Constrained Decoding for Structured NLP Tasks without Finetuning,VERIFIED,T3,HOW/WHAT,C1,Structural generation comparator separated from independent state-relative authorization.,crossref|openalex|semantic_scholar,Structural admissibility does not establish state-relative semantic validity.
S10,S10_beurerkellner2023prompting,Prompting Is Programming: A Query Language for Large Language Models,VERIFIED,T3,HOW/WHAT,C1,Structural generation comparator separated from independent state-relative authorization.,crossref|openalex|semantic_scholar,Structural admissibility does not establish state-relative semantic validity.
S11,S11_cote2019textworld,TextWorld: A Learning Environment for Text-Based Games,VERIFIED,T4,HOW,C4,Environment or benchmark precedent for explicit state multitrack evaluation and process diagnostics.,crossref|openalex|semantic_scholar,Benchmark precedent does not validate TRACE-RPG metrics or population efficacy.
S12,S12_wang2022scienceworld,ScienceWorld: Is Your Agent Smarter than a 5th Grader?,VERIFIED,T4,WHY/WHAT,C4,Environment or benchmark precedent for explicit state multitrack evaluation and process diagnostics.,crossref|openalex|rate-limited:semantic_scholar,Benchmark precedent does not validate TRACE-RPG metrics or population efficacy.
S13,S13_fan2022minedojo,MineDojo: Building Open-Ended Embodied Agents with Internet-Scale Knowledge,VERIFIED,T4,WHY/HOW/WHAT,C4,Environment or benchmark precedent for explicit state multitrack evaluation and process diagnostics.,crossref|openalex|semantic_scholar,Benchmark precedent does not validate TRACE-RPG metrics or population efficacy.
S14,S14_perezliebana2019gvgai,"General Video Game AI: A Multitrack Framework for Evaluating Agents, Games, and Content Generation Algorithms",VERIFIED,T4,HOW/WHAT,C4,Environment or benchmark precedent for explicit state multitrack evaluation and process diagnostics.,crossref|openalex|semantic_scholar,Benchmark precedent does not validate TRACE-RPG metrics or population efficacy.
S15,S15_liu2024agentbench,AgentBench: Evaluating LLMs as Agents,VERIFIED,T4,WHY/WHAT,C4,Environment or benchmark precedent for explicit state multitrack evaluation and process diagnostics.,openalex|semantic_scholar,Benchmark precedent does not validate TRACE-RPG metrics or population efficacy.
S16,S16_ma2024agentboard,AgentBoard: An Analytical Evaluation Board of Multi-turn LLM Agents,VERIFIED,T4,WHY/HOW,C3|C4,Environment or benchmark precedent for explicit state multitrack evaluation and process diagnostics.,crossref|openalex|semantic_scholar,Benchmark precedent does not validate TRACE-RPG metrics or population efficacy.
S17,S17_zhou2024sotopia,SOTOPIA: Interactive Evaluation for Social Intelligence in Language Agents,VERIFIED,T4,WHY/HOW/WHAT,C4,Environment or benchmark precedent for explicit state multitrack evaluation and process diagnostics.,openalex|semantic_scholar,Benchmark precedent does not validate TRACE-RPG metrics or population efficacy.
S18,S18_paglieri2025balrog,BALROG: Benchmarking Agentic LLM and VLM Reasoning on Games,VERIFIED,T4,WHY/WHAT,C4,Environment or benchmark precedent for explicit state multitrack evaluation and process diagnostics.,openalex|rate-limited:semantic_scholar,Benchmark precedent does not validate TRACE-RPG metrics or population efficacy.
S19,S19_lepelletier2022playtesting,Automated Play-Testing through RL-Based Human-Like Play-Styles Generation,VERIFIED,T4,HOW/WHAT,C4,Environment or benchmark precedent for explicit state multitrack evaluation and process diagnostics.,crossref|openalex|semantic_scholar,Benchmark precedent does not validate TRACE-RPG metrics or population efficacy.
S20,S20_ashby2023personalized,Personalized Quest and Dialogue Generation in Role-Playing Games: A Knowledge Graph- and Language Model-Based Approach,VERIFIED,T1,HOW/WHAT,C1,Direct or adjacent game-specific comparator for grounded generation and authority placement.,crossref|openalex|semantic_scholar,Comparator evidence cannot establish TRACE-RPG correctness superiority or player benefit.
S21,S21_akoury2023player,A Framework for Exploring Player Perceptions of LLM-Generated Dialogue in Commercial Video Games,VERIFIED,T5,WHY/HOW/WHAT,BOUNDARY-FUTURE,Player-experience or affect evidence that bounds the unexecuted human and adaptation tracks.,crossref|openalex|semantic_scholar,Prior player or affect findings do not transfer to this system and no present participant result exists.
S22,S22_hochreiter2026beyond,Beyond Pre-Defined Scripts: Player Perceptions on Generative Non-Player Character Dialogues,VERIFIED,T5,WHY/WHAT,BOUNDARY-FUTURE,Player-experience or affect evidence that bounds the unexecuted human and adaptation tracks.,crossref|openalex|semantic_scholar,Prior player or affect findings do not transfer to this system and no present participant result exists.
S23,S23_yin2026contextualized,How Contextualized Generative AI Shapes Player Experience in Games,VERIFIED,T5,WHY/WHAT,BOUNDARY-FUTURE,Player-experience or affect evidence that bounds the unexecuted human and adaptation tracks.,crossref|openalex|semantic_scholar,Prior player or affect findings do not transfer to this system and no present participant result exists.
S24,S24_yannakakis2011experiencedriven,Experience-Driven Procedural Content Generation,VERIFIED,T5,WHY/HOW,BOUNDARY-FUTURE,Player-experience or affect evidence that bounds the unexecuted human and adaptation tracks.,crossref|openalex|semantic_scholar,Prior player or affect findings do not transfer to this system and no present participant result exists.
S25,S25_melhart2020engagement,Moment-to-Moment Engagement Prediction through the Eyes of the Observer: PUBG Streaming on Twitch,VERIFIED,T5,HOW/WHAT,BOUNDARY-FUTURE,Player-experience or affect evidence that bounds the unexecuted human and adaptation tracks.,crossref|openalex|semantic_scholar,Prior player or affect findings do not transfer to this system and no present participant result exists.
S26,S26_wang2026engagement,Do Vision Language Models Understand Human Engagement in Games?,PREPRINT,T5,WHY/WHAT,BOUNDARY-FUTURE,Player-experience or affect evidence that bounds the unexecuted human and adaptation tracks.,openalex|semantic_scholar|arxiv,Prior player or affect findings do not transfer to this system and no present participant result exists.
S27,S27_vanderlee2019best,Best Practices for the Human Evaluation of Automatically Generated Text,VERIFIED,T6,HOW,C4,Human or LLM evaluation protocol and bias-control guidance for future confirmatory work.,crossref|openalex|semantic_scholar,Evaluation guidance does not substitute for an executed blinded study or calibrated oracle.
S28,S28_karpinska2021perils,The Perils of Using Mechanical Turk to Evaluate Open-Ended Text Generation,VERIFIED,T6,WHY/HOW/WHAT,C4,Human or LLM evaluation protocol and bias-control guidance for future confirmatory work.,crossref|openalex|semantic_scholar,Evaluation guidance does not substitute for an executed blinded study or calibrated oracle.
S29,S29_zheng2023judging,Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,VERIFIED,T6,HOW/WHAT,C4,Human or LLM evaluation protocol and bias-control guidance for future confirmatory work.,crossref|openalex|semantic_scholar,Evaluation guidance does not substitute for an executed blinded study or calibrated oracle.
S30,S30_chen2024judgement,Humans or LLMs as the Judge? A Study on Judgement Bias,VERIFIED,T6,WHY/HOW/WHAT,C4,Human or LLM evaluation protocol and bias-control guidance for future confirmatory work.,crossref|openalex|semantic_scholar,Evaluation guidance does not substitute for an executed blinded study or calibrated oracle.
S31,S31_agarwal2021precipice,Deep Reinforcement Learning at the Edge of the Statistical Precipice,VERIFIED,T7,HOW/WHAT,C4,Statistics reproducibility and reporting guidance for evidence ceilings and future analyses.,openalex|semantic_scholar,Reporting guidance does not turn designed-fixture counts into population estimates.
S32,S32_lakens2018equivalence,Equivalence Testing for Psychological Research: A Tutorial,VERIFIED,T7,HOW,C4,Statistics reproducibility and reporting guidance for evidence ceilings and future analyses.,crossref|openalex|semantic_scholar,Reporting guidance does not turn designed-fixture counts into population estimates.
